record,title,doi,publication_class,source_access,readouts_inspected,interpretation_boundary,anchor,reviewer
LA-N11,Oxeiptosis in Parkinson's disease: Unraveling the KEAP1/PGAM5/AIFM1 Axis and its role in pathophysiology and therapeutics.,10.1016/j.cellsig.2025.112288,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N12,"Alloimperatorin activates apoptosis, ferroptosis, and oxeiptosis to inhibit the growth and invasion of breast cancer cells in vitro.",10.1139/bcb-2021-0399,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N13,Magnolol facilitates mitochondrial-peroxisome dysfunction and induces oxeiptosis in lung cancer cells following transfer via tunneling nanotubes.,10.1016/j.biopha.2025.118126,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N14,"Zhu Y, Zhang L, Zeng D, Zhou P, Hu J. Oxeiptosis gene expression profiling identified TCN1 as a prognostic factor for breast cancer. *Oncologie* 2024;27(1):95–109. doi:10.1515/oncologie-2024-0397. PubMed: no PMID indexed.",10.1515/oncologie-2024-0397,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N15,Multi-omics profiling of oxeiptosis-associated biomarkers in cancer.,10.1016/j.cca.2026.121194,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N16,"Mechanisms of chondrocyte regulated cell death in osteoarthritis: Focus on ROS-triggered ferroptosis, parthanatos, and oxeiptosis.",10.1016/j.bbrc.2024.149733,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N17,Oxeiptosis-a cell death pathway to mitigate damage caused by radicals.,10.1038/s41418-018-0134-3,commentary,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N18,Mitochondria Targeted Nanoparticles Potentiate Tumor Chemo-Phototherapy by Toxic Oxidative Stress Mediated Oxeiptosis.,10.1002/mabi.202300151,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N19,"Auriculasin enhances ROS generation to regulate colorectal cancer cell apoptosis, ferroptosis, oxeiptosis, invasion and colony formation.",10.1016/j.bbrc.2021.11.101,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,AI-assisted source appraisal; no completed independent human assessment
LA-N20,"Xu L, Hu S. Overcoming therapeutic limitations in glioblastoma treatment: a nanocomposite inducing ferroptosis and oxeiptosis via photodynamic therapy. *Photodiagnosis and Photodynamic Therapy* 2025;56(Suppl):104830. doi:10.1016/j.pdpdt.2025.104830. PubMed: no PMID indexed.",10.1016/j.pdpdt.2025.104830,primary_readout_no_text,not_retrieved,Unknown,Publication identity verified; no usable source material for measurement-content assessment.,Metadata only,AI-assisted source appraisal; no completed independent human assessment
